label,headline
1,"""1000 pret 1000"" apmaiņas pirmā fāze: mājās atgriežas 205 ukraiņi, tostarp daudzi Mariupoles aizstāvji"
1,"""Aizsardzības nozare turpmāk jāvada profesionālim"". Siliņa pieprasa ministra Sprūda demisiju (plkst. 20.29)"
1,"""Ameriks noteikti tas nebija,"" krimināllietā par kukuļa pieprasīšanu apgalvo liecinieks Brandavs"
0,"""Apvienotais saraksts"" jau rīt aicinās lemt par Siliņas demisiju"
1,"""Asimilācijas iespēju robeža"": Francijas ministrs rosina noteikt moratoriju migrācijai"
1,"""Atkāpjos, lai pasargātu Latvijas armiju no ieraušanas politiskā kampaņā"", saka Sprūds"
0,"""Aurora 26"": Zviedrija vingrinās izvietot spēkus Gotlandē un Latvijā"
1,"""Banderovieši"" un apmāns. Kā čeka centās radīt viltus realitāti par Čornobiļas katastrofu"
1,"""Būs jāstrādā vasarā"" – Kulbergs jaunajā valdībā redz kādu no esošajiem ministriem"
1,"""Delfi Plus"" svin septiņu gadu jubileju un piedāvā īpaši izdevīgu cenu abonementam"
0,"""Divu grozu"" sistēmas ieviešanu veselības aprūpē atliek līdz gada beigām"
1,"""Draudi vienai dalībvalstij ir draudi visai mūsu Savienībai,"" Baltiju aizstāv Leiena"
1,"""Dronu jau nebija, bija tikai bardaks."" Rēzeknē pēc dronu trauksmēm jautājumu vairāk nekā atbilžu"
0,"""Flamingo"" raķete trāpījusi rūpnīcai Čeboksaros"
1,"""Getliņos"" pulcējas kaiju klaigu atdarinātāji"
0,"""Google Maps"" sper soli pretī Latvijas velobraucējiem"
1,"""Gora"" nākotni izlems alternatīvā likumprojektā"
0,"""Gruža kauss"" – bērni savākuši 44,8 tonnas bateriju un 7,5 tonnas mazās elektrotehnikas"
0,"""Hizbollah"" noraida pamieru ar Izraēlu"
1,"""Izaugsme turpinās"" un ""tās ir pasakas"" – Saeimā lauž šķēpus par ekonomisko situāciju"
1,"""Izglītības jomā jāizsludina ārkārtas stāvoklis."" Trojanskis par miljardu pelnīšanu, kovidu un iešanu politikā"
1,"""Ja izrādīsies mūsu, atvainosimies mūsu latviešu draugiem"". Sibiha komentē dronu incidentu Latvijā"
1,"""Jemenas Zirnekļcilvēks"" iekrīt vulkāna krāterī un zaudē dzīvību"
2,"""Jums nav tiesību nepatiesi apsūdzēt"": Polija nosoda Krievijas draudus Latvijai"
1,"""Jāizbeidz, bet ar izņēmumu"" – Kulbergs komentē tirdzniecības pārtraukšanu ar agresorvalstīm"
1,"""Kara beigas tuvojas,"" Peskovs komentē Putina izteikumus"
1,"""Karš beigsies, bet droni būs visur."" Latvijas bezpilota lidaparātu ražotājs par nāvējošo kaķa un peles spēli"
0,"""Kurzemes tīģeris"". Kā muzejā Nīderlandē nonāca nacistu tanks no Latvijas"
1,"""Kā man izdzīvot?"" Jauna organizācija ""Skudras"" sievietes apmācīs gatavībai krīzēm"
1,"""Latvijai ir labākie pārtvērējdroni pasaulē."" Saruna ar ""Origin Robotics"" dibinātāju Ķipuru"
0,"""Latvijas attīstībai"" par savu Ministru prezidenta kandidātu izvirza Ijabu"
2,"""Lielākais šovs pasaulē"". Donalds Tramps ar cīņu šovu pie Baltā nama svin savu 80. jubileju"
0,"""Man vienmēr paticis izaicināt ierasto"": karstāko Rīgas kvīru ballīšu deju grīdas pavēlniece Ieva Mits"
1,"""Meitiņa diemžēl ir invalīde uz visu mūžu."" Tēvs pēc divu bērnu zaudēšanas taisnību nav atradis"
0,"""Meklēt noslīkušo ir kā meklēt adatu siena kaudzē"" – VUGD ūdenslīdējs par savu darbu"
0,"""Mihails Strogovs"" – Žila Verna romāna ekranizācija Daugavpilī un čekas slepenā operācija"
0,"""Modra olu"" saimnieka nošauto suņu lietā prasa notiesāt četrus cilvēkus"
1,"""Mums ir četri partneri"" - Kulbergs paziņo par spertu ""lielu soli"" koalīcijas sarunās"
0,"""Mācos dzīvi bez radio ētera"". Pēc 24 nostrādātiem gadiem ""Radio SWH"" pamet Artis Dvarionas"
1,"""Mūžīgā uguns"" Daugavpilī būs norobežota arī 9. maijā"
1,"""Naivs optimisms"" un ""neīstenojami solījumi"" – opozīcija kritizē Kulberga valdību"
1,"""Nekas nav bīstamāks par klusumu,"" saka Rinkēvičs un aicina vienoties ""vienīgajai sarkanajai līnijai"""
1,"""Nelien Ukrainai acīs"": Madjars brīdina Lukašenko, pirmie 500 mērķi jau noteikti"
1,"""Nobijos jau pēc nolaišanās."" Igauņu pilots skaidro kļūšanu par narkotiku kontrabandas līdzdalībnieku"
1,"""Noraidu jaunu Dzelzs priekškaru starp ES un Krieviju"" – Fico aizstāv dalību 9. maija svinībās Maskavā"
1,"""Nu tad uztaisām šo diskusiju"" – Toro asi atbild Hermanim un izaicina uz publisku debati"
1,"""Pilnīgi nepieņemami"" – Tramps komentē Irānas atbildi uz ASV priekšlikumiem kara izbeigšanai"
1,"""Pilsēta cilvēkiem"" nosoda Bergholca izteikumus un aicina Rīgas domi atsākt ZEZ projektu"
1,"""Pilsēta cilvēkiem"" sola tiesāsies, ja netiks uzlabota Imantas dzelzceļa pārbrauktuves infrastruktūra"
1,"""Progresīvie"" aicina Auguli sniegt skaidrojumus par LVM pārvaldību"
0,"""Progresīvie"" aicina neizsludināt uzturēšanās atļauju tirgošanu atjaunojošo Imigrācijas likumu"
0,"""Progresīvie"" formāli paliek koalīcijā; vispirms aicinās Siliņu uz frakciju izrunāties"
0,"""Progresīvie"" gatavi piecus mēnešus strādāt opozīcijā, bet neļaus noklust kokrūpnieku lietai"
0,"""Progresīvie"" mudina ieskaitīt budžetā ""Latvijas valsts mežu"" uzkrātos 130,3 miljonus eiro"
0,"""Progresīvo"" paziņojums pēc tikšanās ar Siliņu un Melni"
1,"""Pēdējais brīdinājums Briselei"": Krievijas draudi pirms 9. maija pastiprinās"
